app,company,version,device,platform,researcher,time,runid,host,url,method,headers,body
chrome,google,x,samsungGalaxys6,android,dkarandikar,1525167662537,ydweo,en.m.wikipedia.org,https%3A//en.m.wikipedia.org/wiki/Entity,GET,%7B%22accept-language%22%3A%20%22en-GB%2Cen-US%3Bq%3D0.9%2Cen%3Bq%3D0.8%22%2C%20%22accept-encoding%22%3A%20%22gzip%2C%20deflate%2C%20br%22%2C%20%22%3Aauthority%22%3A%20%22en.m.wikipedia.org%22%2C%20%22accept%22%3A%20%22text/html%2Capplication/xhtml%2Bxml%2Capplication/xml%3Bq%3D0.9%2Cimage/webp%2Cimage/apng%2C%2A/%2A%3Bq%3D0.8%22%2C%20%22user-agent%22%3A%20%22Mozilla/5.0%20%28Linux%3B%20Android%207.0%3B%20SM-G920F%20Build/NRD90M%29%20AppleWebKit/537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome/66.0.3359.126%20Mobile%20Safari/537.36%22%2C%20%22dnt%22%3A%20%221%22%2C%20%22referer%22%3A%20%22https%3A//en.m.wikipedia.org/wiki/Organization%22%2C%20%22cookie%22%3A%20%22CP%3DH2%2C%20WMF-Last-Access%3D01-May-2018%2C%20WMF-Last-Access-Global%3D01-May-2018%2C%20GeoIP%3DGB%3AENG%3AOxford%3A51.75%3A-1.25%3Av4%22%2C%20%22upgrade-insecure-requests%22%3A%20%221%22%7D,
chrome,google,x,samsungGalaxys6,android,dkarandikar,1525167662788,ydweo,en.m.wikipedia.org,https%3A//en.m.wikipedia.org/w/load.php%3Fdebug%3Dfalse%26lang%3Den%26modules%3Dmediawiki.hlist%257Cmediawiki.ui.button%252Cicon%257Cskins.minerva.base.reset%252Cstyles%257Cskins.minerva.content.styles%257Cskins.minerva.icons.images%257Cskins.minerva.tablet.styles%26only%3Dstyles%26skin%3Dminerva,GET,%7B%22accept-language%22%3A%20%22en-GB%2Cen-US%3Bq%3D0.9%2Cen%3Bq%3D0.8%22%2C%20%22accept-encoding%22%3A%20%22gzip%2C%20deflate%2C%20br%22%2C%20%22accept%22%3A%20%22text/css%2C%2A/%2A%3Bq%3D0.1%22%2C%20%22user-agent%22%3A%20%22Mozilla/5.0%20%28Linux%3B%20Android%207.0%3B%20SM-G920F%20Build/NRD90M%29%20AppleWebKit/537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome/66.0.3359.126%20Mobile%20Safari/537.36%22%2C%20%22dnt%22%3A%20%221%22%2C%20%22referer%22%3A%20%22https%3A//en.m.wikipedia.org/wiki/Entity%22%2C%20%22if-none-match%22%3A%20%22W/%5C%2210g8yjm%5C%22%22%2C%20%22cookie%22%3A%20%22CP%3DH2%2C%20WMF-Last-Access%3D01-May-2018%2C%20WMF-Last-Access-Global%3D01-May-2018%2C%20GeoIP%3DGB%3AENG%3AOxford%3A51.75%3A-1.25%3Av4%22%2C%20%22%3Aauthority%22%3A%20%22en.m.wikipedia.org%22%7D,
chrome,google,x,samsungGalaxys6,android,dkarandikar,1525167663275,ydweo,en.m.wikipedia.org,https%3A//en.m.wikipedia.org/w/api.php%3Faction%3Dquery%26format%3Djson%26formatversion%3D2%26prop%3Dpageimages%257Cdescription%26piprop%3Dthumbnail%26pithumbsize%3D160%26pilimit%3D3%26generator%3Dsearch%26gsrsearch%3Dmorelike%253AEntity%26gsrnamespace%3D0%26gsrlimit%3D3%26gsrqiprofile%3Dclassic_noboostlinks%26uselang%3Dcontent%26smaxage%3D86400%26maxage%3D86400,GET,%7B%22cookie%22%3A%20%22CP%3DH2%2C%20WMF-Last-Access%3D01-May-2018%2C%20WMF-Last-Access-Global%3D01-May-2018%2C%20GeoIP%3DGB%3AENG%3AOxford%3A51.75%3A-1.25%3Av4%22%2C%20%22accept-language%22%3A%20%22en-GB%2Cen-US%3Bq%3D0.9%2Cen%3Bq%3D0.8%22%2C%20%22accept-encoding%22%3A%20%22gzip%2C%20deflate%2C%20br%22%2C%20%22accept%22%3A%20%22application/json%2C%20text/javascript%2C%20%2A/%2A%3B%20q%3D0.01%22%2C%20%22user-agent%22%3A%20%22Mozilla/5.0%20%28Linux%3B%20Android%207.0%3B%20SM-G920F%20Build/NRD90M%29%20AppleWebKit/537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome/66.0.3359.126%20Mobile%20Safari/537.36%22%2C%20%22dnt%22%3A%20%221%22%2C%20%22referer%22%3A%20%22https%3A//en.m.wikipedia.org/wiki/Entity%22%2C%20%22x-requested-with%22%3A%20%22XMLHttpRequest%22%2C%20%22%3Aauthority%22%3A%20%22en.m.wikipedia.org%22%7D,
chrome,google,x,samsungGalaxys6,android,dkarandikar,1525167665482,ydweo,en.m.wikipedia.org,https%3A//en.m.wikipedia.org/wiki/Bucephalus,GET,%7B%22accept-language%22%3A%20%22en-GB%2Cen-US%3Bq%3D0.9%2Cen%3Bq%3D0.8%22%2C%20%22accept-encoding%22%3A%20%22gzip%2C%20deflate%2C%20br%22%2C%20%22%3Aauthority%22%3A%20%22en.m.wikipedia.org%22%2C%20%22accept%22%3A%20%22text/html%2Capplication/xhtml%2Bxml%2Capplication/xml%3Bq%3D0.9%2Cimage/webp%2Cimage/apng%2C%2A/%2A%3Bq%3D0.8%22%2C%20%22user-agent%22%3A%20%22Mozilla/5.0%20%28Linux%3B%20Android%207.0%3B%20SM-G920F%20Build/NRD90M%29%20AppleWebKit/537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome/66.0.3359.126%20Mobile%20Safari/537.36%22%2C%20%22dnt%22%3A%20%221%22%2C%20%22referer%22%3A%20%22https%3A//en.m.wikipedia.org/wiki/Entity%22%2C%20%22cookie%22%3A%20%22CP%3DH2%2C%20WMF-Last-Access%3D01-May-2018%2C%20WMF-Last-Access-Global%3D01-May-2018%2C%20GeoIP%3DGB%3AENG%3AOxford%3A51.75%3A-1.25%3Av4%22%2C%20%22upgrade-insecure-requests%22%3A%20%221%22%7D,
chrome,google,x,samsungGalaxys6,android,dkarandikar,1525167665753,ydweo,en.m.wikipedia.org,https%3A//en.m.wikipedia.org/w/load.php%3Fdebug%3Dfalse%26lang%3Den%26modules%3Dext.cite.styles%257Cmediawiki.hlist%257Cmediawiki.ui.button%252Cicon%257Cskins.minerva.base.reset%252Cstyles%257Cskins.minerva.content.styles%257Cskins.minerva.icons.images%257Cskins.minerva.tablet.styles%26only%3Dstyles%26skin%3Dminerva,GET,%7B%22accept-language%22%3A%20%22en-GB%2Cen-US%3Bq%3D0.9%2Cen%3Bq%3D0.8%22%2C%20%22accept-encoding%22%3A%20%22gzip%2C%20deflate%2C%20br%22%2C%20%22accept%22%3A%20%22text/css%2C%2A/%2A%3Bq%3D0.1%22%2C%20%22user-agent%22%3A%20%22Mozilla/5.0%20%28Linux%3B%20Android%207.0%3B%20SM-G920F%20Build/NRD90M%29%20AppleWebKit/537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome/66.0.3359.126%20Mobile%20Safari/537.36%22%2C%20%22dnt%22%3A%20%221%22%2C%20%22referer%22%3A%20%22https%3A//en.m.wikipedia.org/wiki/Bucephalus%22%2C%20%22if-none-match%22%3A%20%22W/%5C%220zakzrb%5C%22%22%2C%20%22cookie%22%3A%20%22CP%3DH2%2C%20WMF-Last-Access%3D01-May-2018%2C%20WMF-Last-Access-Global%3D01-May-2018%2C%20GeoIP%3DGB%3AENG%3AOxford%3A51.75%3A-1.25%3Av4%22%2C%20%22%3Aauthority%22%3A%20%22en.m.wikipedia.org%22%7D,
chrome,google,x,samsungGalaxys6,android,dkarandikar,1525167666171,ydweo,upload.wikimedia.org,https%3A//upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Seleucos_I_Bucephalos_coin.jpg/330px-Seleucos_I_Bucephalos_coin.jpg,GET,%7B%22accept-language%22%3A%20%22en-GB%2Cen-US%3Bq%3D0.9%2Cen%3Bq%3D0.8%22%2C%20%22accept-encoding%22%3A%20%22gzip%2C%20deflate%2C%20br%22%2C%20%22accept%22%3A%20%22image/webp%2Cimage/apng%2Cimage/%2A%2C%2A/%2A%3Bq%3D0.8%22%2C%20%22user-agent%22%3A%20%22Mozilla/5.0%20%28Linux%3B%20Android%207.0%3B%20SM-G920F%20Build/NRD90M%29%20AppleWebKit/537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome/66.0.3359.126%20Mobile%20Safari/537.36%22%2C%20%22dnt%22%3A%20%221%22%2C%20%22referer%22%3A%20%22https%3A//en.m.wikipedia.org/%22%2C%20%22cookie%22%3A%20%22GeoIP%3DGB%3AENG%3AOxford%3A51.75%3A-1.25%3Av4%22%2C%20%22%3Aauthority%22%3A%20%22upload.wikimedia.org%22%7D,
chrome,google,x,samsungGalaxys6,android,dkarandikar,1525167667223,ydweo,en.m.wikipedia.org,https%3A//en.m.wikipedia.org/w/api.php%3Faction%3Dquery%26format%3Djson%26formatversion%3D2%26prop%3Dpageimages%257Cdescription%26piprop%3Dthumbnail%26pithumbsize%3D160%26pilimit%3D3%26generator%3Dsearch%26gsrsearch%3Dmorelike%253ABucephalus%26gsrnamespace%3D0%26gsrlimit%3D3%26gsrqiprofile%3Dclassic_noboostlinks%26uselang%3Dcontent%26smaxage%3D86400%26maxage%3D86400,GET,%7B%22cookie%22%3A%20%22CP%3DH2%2C%20WMF-Last-Access%3D01-May-2018%2C%20WMF-Last-Access-Global%3D01-May-2018%2C%20GeoIP%3DGB%3AENG%3AOxford%3A51.75%3A-1.25%3Av4%22%2C%20%22accept-language%22%3A%20%22en-GB%2Cen-US%3Bq%3D0.9%2Cen%3Bq%3D0.8%22%2C%20%22accept-encoding%22%3A%20%22gzip%2C%20deflate%2C%20br%22%2C%20%22accept%22%3A%20%22application/json%2C%20text/javascript%2C%20%2A/%2A%3B%20q%3D0.01%22%2C%20%22user-agent%22%3A%20%22Mozilla/5.0%20%28Linux%3B%20Android%207.0%3B%20SM-G920F%20Build/NRD90M%29%20AppleWebKit/537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome/66.0.3359.126%20Mobile%20Safari/537.36%22%2C%20%22dnt%22%3A%20%221%22%2C%20%22referer%22%3A%20%22https%3A//en.m.wikipedia.org/wiki/Bucephalus%22%2C%20%22x-requested-with%22%3A%20%22XMLHttpRequest%22%2C%20%22%3Aauthority%22%3A%20%22en.m.wikipedia.org%22%7D,
chrome,google,x,samsungGalaxys6,android,dkarandikar,1525167667491,ydweo,upload.wikimedia.org,https%3A//upload.wikimedia.org/wikipedia/commons/thumb/3/39/AlexanderIndiaMap.jpg/128px-AlexanderIndiaMap.jpg,GET,%7B%22accept-language%22%3A%20%22en-GB%2Cen-US%3Bq%3D0.9%2Cen%3Bq%3D0.8%22%2C%20%22accept-encoding%22%3A%20%22gzip%2C%20deflate%2C%20br%22%2C%20%22accept%22%3A%20%22image/webp%2Cimage/apng%2Cimage/%2A%2C%2A/%2A%3Bq%3D0.8%22%2C%20%22user-agent%22%3A%20%22Mozilla/5.0%20%28Linux%3B%20Android%207.0%3B%20SM-G920F%20Build/NRD90M%29%20AppleWebKit/537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome/66.0.3359.126%20Mobile%20Safari/537.36%22%2C%20%22dnt%22%3A%20%221%22%2C%20%22referer%22%3A%20%22https%3A//en.m.wikipedia.org/%22%2C%20%22cookie%22%3A%20%22GeoIP%3DGB%3AENG%3AOxford%3A51.75%3A-1.25%3Av4%22%2C%20%22%3Aauthority%22%3A%20%22upload.wikimedia.org%22%7D,
chrome,google,x,samsungGalaxys6,android,dkarandikar,1525167667495,ydweo,upload.wikimedia.org,https%3A//upload.wikimedia.org/wikipedia/commons/thumb/4/44/AlexanderConquestsInIndia.jpg/128px-AlexanderConquestsInIndia.jpg,GET,%7B%22accept-language%22%3A%20%22en-GB%2Cen-US%3Bq%3D0.9%2Cen%3Bq%3D0.8%22%2C%20%22accept-encoding%22%3A%20%22gzip%2C%20deflate%2C%20br%22%2C%20%22accept%22%3A%20%22image/webp%2Cimage/apng%2Cimage/%2A%2C%2A/%2A%3Bq%3D0.8%22%2C%20%22user-agent%22%3A%20%22Mozilla/5.0%20%28Linux%3B%20Android%207.0%3B%20SM-G920F%20Build/NRD90M%29%20AppleWebKit/537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome/66.0.3359.126%20Mobile%20Safari/537.36%22%2C%20%22dnt%22%3A%20%221%22%2C%20%22referer%22%3A%20%22https%3A//en.m.wikipedia.org/%22%2C%20%22cookie%22%3A%20%22GeoIP%3DGB%3AENG%3AOxford%3A51.75%3A-1.25%3Av4%22%2C%20%22%3Aauthority%22%3A%20%22upload.wikimedia.org%22%7D,
chrome,google,x,samsungGalaxys6,android,dkarandikar,1525167667511,ydweo,upload.wikimedia.org,https%3A//upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Jhelum_River-Pakistan.jpg/160px-Jhelum_River-Pakistan.jpg,GET,%7B%22accept-language%22%3A%20%22en-GB%2Cen-US%3Bq%3D0.9%2Cen%3Bq%3D0.8%22%2C%20%22accept-encoding%22%3A%20%22gzip%2C%20deflate%2C%20br%22%2C%20%22accept%22%3A%20%22image/webp%2Cimage/apng%2Cimage/%2A%2C%2A/%2A%3Bq%3D0.8%22%2C%20%22user-agent%22%3A%20%22Mozilla/5.0%20%28Linux%3B%20Android%207.0%3B%20SM-G920F%20Build/NRD90M%29%20AppleWebKit/537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome/66.0.3359.126%20Mobile%20Safari/537.36%22%2C%20%22dnt%22%3A%20%221%22%2C%20%22referer%22%3A%20%22https%3A//en.m.wikipedia.org/%22%2C%20%22cookie%22%3A%20%22GeoIP%3DGB%3AENG%3AOxford%3A51.75%3A-1.25%3Av4%22%2C%20%22%3Aauthority%22%3A%20%22upload.wikimedia.org%22%7D,
